-6.437,0.375,3.813,0.06,-0.65,0.09
-6.312,-1.563,4.563,-0.27,-0.77,0.1
-6.437,-3.25,3.563,-0.56,-0.61,0.07
-6.562,-4.563,3.063,-0.79,-0.52,0.04
-6.687,-5.563,3.063,-0.95,-0.52,0.02
-1.313,-6.438,3.438,-1.1,-0.59,0.01
-1.313,-7.375,4.063,-1.26,-0.7,0.01
-1.063,-7.875,5,-0.07,-0.86,0.01
-7.187,-7.813,6.063,-1.34,-1.01,0.02
-0.563,-7.688,6.938,-1.32,-1.18,0.04
-7.812,-6.75,7.75,-1.16,-1.31,0.07
-0.438,-3.938,8.5,-0.68,-1.44,0.12
-0.375,-1.625,8.563,-0.28,-1.46,0.14
-7.625,-0.063,8.625,-0.06,-1.46,0.15
-7.625,2.687,8.625,1.73,-1.46,0.14
-7.062,5.812,6.688,2.27,-1.13,0.09
-6.75,9.125,5.188,1.5,-0.89,0.01
-6.5,11.5,5,1.95,-0.86,-0.07
-6.625,13.062,3.375,2.21,-0.6,-0.15
-6.75,14.312,2.125,2.4,-0.4,-0.22
-6.812,14.5,1.813,2.45,-0.35,-0.24
-7.062,13.937,0.25,2.36,-0.08,-0.26
-7.312,13.187,-1.187,2.23,0.15,-0.28
-7.437,12.25,-1.5,2.1,0.22,-0.26
-7.562,11,-1.687,1.86,0.25,-0.22
